"","variable","gene","value","Scan Name","Target","Sample_ID","Group"
"178","DSP1001660035014AA09.dcc","TFF1",5.13881585865437,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","CBD"
"179","DSP1001660035014AA09.dcc","AQP5",5.26976116720957,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","CBD"
"180","DSP1001660035014AA09.dcc","FGF19",5.50062112924438,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","GB"
"181","DSP1001660035014AA09.dcc","SLC15A1",6.97283767317411,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","GB"
"182","DSP1001660035014AA09.dcc","MUC13",6.97283767317411,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","GB"
"183","DSP1001660035014AA09.dcc","SLC13A1",5.50062112924438,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","GB"
"184","DSP1001660035014AA09.dcc","SOX17",5.13881585865437,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A09","GB"
"191","DSP1001660035014AA10.dcc","DCDC2",7.34849896412012,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","IHD"
"192","DSP1001660035014AA10.dcc","PKHD1",7.34849896412012,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","IHD"
"193","DSP1001660035014AA10.dcc","HES4",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","IHD"
"194","DSP1001660035014AA10.dcc","BICC1",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","IHD"
"195","DSP1001660035014AA10.dcc","JAG1",7.7296184142646,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","IHD"
"196","DSP1001660035014AA10.dcc","SOX4",6.82907014223017,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","IHD"
"197","DSP1001660035014AA10.dcc","TACSTD2",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","IHD"
"198","DSP1001660035014AA10.dcc","HES1",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","IHD"
"199","DSP1001660035014AA10.dcc","TFF2",6.82907014223017,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","CBD"
"200","DSP1001660035014AA10.dcc","TFF3",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","CBD"
"201","DSP1001660035014AA10.dcc","TFF1",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","CBD"
"202","DSP1001660035014AA10.dcc","AQP5",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","CBD"
"203","DSP1001660035014AA10.dcc","FGF19",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","GB"
"204","DSP1001660035014AA10.dcc","SLC15A1",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","GB"
"205","DSP1001660035014AA10.dcc","MUC13",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","GB"
"206","DSP1001660035014AA10.dcc","SLC13A1",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","GB"
"207","DSP1001660035014AA10.dcc","SOX17",6.00950411390618,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A10","GB"
"214","DSP1001660035014AA11.dcc","DCDC2",8.47162219836217,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","IHD"
"215","DSP1001660035014AA11.dcc","PKHD1",9.17921126674905,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","IHD"
"216","DSP1001660035014AA11.dcc","HES4",6.23728764600182,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","IHD"
"217","DSP1001660035014AA11.dcc","BICC1",8.03234970658064,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","IHD"
"218","DSP1001660035014AA11.dcc","JAG1",7.73113990419241,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","IHD"
"219","DSP1001660035014AA11.dcc","SOX4",8.61969152339429,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","IHD"
"220","DSP1001660035014AA11.dcc","TACSTD2",8.09152912083945,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","IHD"
"221","DSP1001660035014AA11.dcc","HES1",6.83049033199446,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","IHD"
"222","DSP1001660035014AA11.dcc","TFF2",5.41121840194892,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","CBD"
"223","DSP1001660035014AA11.dcc","TFF3",6.83049033199446,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","CBD"
"224","DSP1001660035014AA11.dcc","TFF1",5.41121840194892,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","CBD"
"225","DSP1001660035014AA11.dcc","AQP5",5.74191006549177,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","CBD"
"226","DSP1001660035014AA11.dcc","FGF19",5.212280878879,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","GB"
"227","DSP1001660035014AA11.dcc","SLC15A1",6.12846415841337,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","GB"
"228","DSP1001660035014AA11.dcc","MUC13",6.43302831148696,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","GB"
"229","DSP1001660035014AA11.dcc","SLC13A1",5.58601862322973,"715 TL right 31","atop(atop(textstyle('PCO'),textstyle(italic('in vivo'))))","A11","GB"
