Name,CellTypes,Count,Condition
BB03,naive.CD8+.T.cell,0,DKO
BB03,memory.B.cell,0,DKO
BB03,cytotoxic.T.cell.type.1,0,DKO
BB05,naive.B.cell,0,DKO
BB05,precursor.B.cell,114.1483407,DKO
BB05,pro.B.cell,95.44487752,DKO
BB05,cytotoxic.T.cell.type.2,63.21222096,DKO
BB05,CD4+.naive.T.cell,0,DKO
BB05,T.helper.cell,0,DKO
BB05,naive.CD8+.T.cell,0,DKO
BB05,memory.B.cell,0,DKO
BB05,cytotoxic.T.cell.type.1,0,DKO
BB06,naive.B.cell,0,DKO
BB06,precursor.B.cell,83.95077728,DKO
BB06,pro.B.cell,89.49660143,DKO
BB06,cytotoxic.T.cell.type.2,47.00105062,DKO
BB06,CD4+.naive.T.cell,0,DKO
BB06,T.helper.cell,0,DKO
BB06,naive.CD8+.T.cell,0,DKO
BB06,memory.B.cell,0,DKO
BB06,cytotoxic.T.cell.type.1,0,DKO
BB08,naive.B.cell,0,DKO
BB08,precursor.B.cell,59.56632165,DKO
BB08,pro.B.cell,65.8933425,DKO
BB08,cytotoxic.T.cell.type.2,40.16123073,DKO
BB08,CD4+.naive.T.cell,0,DKO
BB08,T.helper.cell,0,DKO
BB08,naive.CD8+.T.cell,0,DKO
BB08,memory.B.cell,0,DKO
BB08,cytotoxic.T.cell.type.1,0,DKO
BB10,naive.B.cell,0,DKO
BB10,precursor.B.cell,102.1776713,DKO
BB10,pro.B.cell,50.88272837,DKO
BB10,cytotoxic.T.cell.type.2,53.4111967,DKO
BB10,CD4+.naive.T.cell,0,DKO
BB10,T.helper.cell,0,DKO
BB10,naive.CD8+.T.cell,0,DKO
BB10,memory.B.cell,0,DKO
BB10,cytotoxic.T.cell.type.1,0,DKO
BB12,naive.B.cell,0,DKO
BB12,precursor.B.cell,97.9828972,DKO
BB12,pro.B.cell,74.75360115,DKO
BB12,cytotoxic.T.cell.type.2,45.04515941,DKO
BB12,CD4+.naive.T.cell,0,DKO
BB12,T.helper.cell,0,DKO
BB12,naive.CD8+.T.cell,0,DKO
BB12,memory.B.cell,0,DKO
BB12,cytotoxic.T.cell.type.1,0,DKO
BC02,naive.B.cell,0,DKO
BC02,precursor.B.cell,206.0633428,DKO
BC02,pro.B.cell,116.9133478,DKO
BC02,cytotoxic.T.cell.type.2,94.24745995,DKO
BC02,CD4+.naive.T.cell,0,DKO
BC02,T.helper.cell,0,DKO
BC02,naive.CD8+.T.cell,0,DKO
BC02,memory.B.cell,0,DKO
BC02,cytotoxic.T.cell.type.1,0,DKO
BC04,naive.B.cell,0,DKO
BC04,precursor.B.cell,118.8449576,DKO
BC04,pro.B.cell,78.56156333,DKO
BC04,cytotoxic.T.cell.type.2,51.89286738,DKO
BC04,CD4+.naive.T.cell,0,DKO
BC04,T.helper.cell,0,DKO
BC04,naive.CD8+.T.cell,0,DKO
BC04,memory.B.cell,0,DKO
BC04,cytotoxic.T.cell.type.1,0,DKO
BC05,naive.B.cell,0,DKO
BC05,precursor.B.cell,64.76749973,DKO
BC05,pro.B.cell,33.352961,DKO
BC05,cytotoxic.T.cell.type.2,25.32709729,DKO
BC05,CD4+.naive.T.cell,0,DKO
BC05,T.helper.cell,0,DKO
BC05,naive.CD8+.T.cell,0,DKO
BC05,memory.B.cell,0,DKO
BC05,cytotoxic.T.cell.type.1,0,DKO
BC07,naive.B.cell,0,WT
BC07,precursor.B.cell,285.6695032,WT
BC07,pro.B.cell,141.3051812,WT
BC07,cytotoxic.T.cell.type.2,91.1359465,WT
BC07,CD4+.naive.T.cell,0,WT
BC07,T.helper.cell,0,WT
BC07,naive.CD8+.T.cell,0,WT
BC07,memory.B.cell,0,WT
BC07,cytotoxic.T.cell.type.1,0,WT
BC09,naive.B.cell,0,WT
BC09,precursor.B.cell,447.4769503,WT
BC09,pro.B.cell,130.8380525,WT
BC09,cytotoxic.T.cell.type.2,137.3776825,WT
BC09,CD4+.naive.T.cell,0,WT
BC09,T.helper.cell,0,WT
BC09,naive.CD8+.T.cell,0,WT
BC09,memory.B.cell,0,WT
BC09,cytotoxic.T.cell.type.1,0,WT
BC11,naive.B.cell,0,WT
BC11,precursor.B.cell,498.2356739,WT
BC11,pro.B.cell,174.245935,WT
BC11,cytotoxic.T.cell.type.2,164.2351588,WT
BC11,CD4+.naive.T.cell,0,WT
BC11,T.helper.cell,0,WT
BC11,naive.CD8+.T.cell,0,WT
BC11,memory.B.cell,0,WT
BC11,cytotoxic.T.cell.type.1,0,WT
BD01,naive.B.cell,0,WT
BD01,precursor.B.cell,379.0086345,WT
BD01,pro.B.cell,97.13834284,WT
BD01,cytotoxic.T.cell.type.2,121.8497084,WT
BD01,CD4+.naive.T.cell,0,WT
BD01,T.helper.cell,0,WT
BD01,naive.CD8+.T.cell,0,WT
BD01,memory.B.cell,0,WT
BD01,cytotoxic.T.cell.type.1,0,WT
BD03,naive.B.cell,0,WT
BD03,precursor.B.cell,243.307127,WT
BD03,pro.B.cell,104.6669752,WT
BD03,cytotoxic.T.cell.type.2,74.9942544,WT
BD03,CD4+.naive.T.cell,0,WT
BD03,T.helper.cell,0,WT
BD03,naive.CD8+.T.cell,0,WT
BD03,memory.B.cell,0,WT
BD03,cytotoxic.T.cell.type.1,0,WT
BD04,naive.B.cell,0,WT
BD04,precursor.B.cell,128.7218353,WT
BD04,pro.B.cell,79.39721808,WT
BD04,cytotoxic.T.cell.type.2,64.3583629,WT
BD04,CD4+.naive.T.cell,0,WT
BD04,T.helper.cell,0,WT
BD04,naive.CD8+.T.cell,0,WT
BD04,memory.B.cell,0,WT
BD04,cytotoxic.T.cell.type.1,0,WT
BD06,naive.B.cell,0,WT
BD06,precursor.B.cell,424.8131338,WT
BD06,pro.B.cell,165.2257116,WT
BD06,cytotoxic.T.cell.type.2,131.9385644,WT
BD06,CD4+.naive.T.cell,0,WT
BD06,T.helper.cell,0,WT
BD06,naive.CD8+.T.cell,0,WT
BD06,memory.B.cell,0,WT
BD06,cytotoxic.T.cell.type.1,0,WT
BD08,naive.B.cell,0,WT
BD08,precursor.B.cell,255.5892199,WT
BD08,pro.B.cell,156.5846603,WT
BD08,cytotoxic.T.cell.type.2,89.96369615,WT
BD08,CD4+.naive.T.cell,0,WT
BD08,T.helper.cell,0,WT
BD08,naive.CD8+.T.cell,0,WT
BD08,memory.B.cell,0,WT
BD08,cytotoxic.T.cell.type.1,0,WT
BD10,naive.B.cell,0,WT
BD10,precursor.B.cell,576.2435269,WT
BD10,pro.B.cell,254.246068,WT
BD10,cytotoxic.T.cell.type.2,190.6856807,WT
BD10,CD4+.naive.T.cell,0,WT
BD10,T.helper.cell,0,WT
BD10,naive.CD8+.T.cell,0,WT
BD10,memory.B.cell,0,WT
BD10,cytotoxic.T.cell.type.1,0,WT
BD12,naive.B.cell,0,WT
BD12,precursor.B.cell,517.7882806,WT
BD12,pro.B.cell,222.6120629,WT
BD12,cytotoxic.T.cell.type.2,158.8366798,WT
BD12,CD4+.naive.T.cell,0,WT
BD12,T.helper.cell,0,WT
BD12,naive.CD8+.T.cell,0,WT
BD12,memory.B.cell,0,WT
BD12,cytotoxic.T.cell.type.1,0,WT
BE01,naive.B.cell,0,WT
BE01,precursor.B.cell,134.9804178,WT
BE01,pro.B.cell,63.40973731,WT
BE01,cytotoxic.T.cell.type.2,41.76555515,WT
BE01,CD4+.naive.T.cell,0,WT
BE01,T.helper.cell,0,WT
BE01,naive.CD8+.T.cell,0,WT
BE01,memory.B.cell,0,WT
BE01,cytotoxic.T.cell.type.1,0,WT
